character,character_rarity,Jawi-OCR-Kraken-v1_cer,Jawi-OCR-Qwen-v1_cer,Jawi-OCR-Qwen-v2_cer,Qwen-SEA-LION-v4-4B-VL_cer,Qwen-SEA-LION-v4-8B-VL_cer,Qwen2-VL-2B-Instruct_cer,Qwen2.5-VL-3B-Instruct_cer
ت,8020,0.17294264339152118,0.22930174563591021,0.14476309226932668,0.26533665835411474,0.17880299251870324,0.4669576059850374,0.32743142144638404
ا,20590,0.15279261777561923,0.1365711510441962,0.07644487615347256,0.09480330257406508,0.06532297231665857,0.2921321029626032,0.2448761534725595
ڤ,2150,0.2102325581395349,0.3809302325581395,0.3586046511627907,0.8065116279069767,0.8376744186046512,1.0,1.0
ي,13470,0.17379361544172234,0.2139569413511507,0.12583518930957685,0.5282850779510022,0.33615441722345957,0.45538233110616183,0.34751299183370454
ک,6900,0.10594202898550725,0.13884057971014493,0.10188405797101449,0.5340579710144927,0.46115942028985507,0.8791304347826087,0.93
د,8850,0.13581920903954803,0.12994350282485875,0.06644067796610169,0.14271186440677966,0.07175141242937853,0.2846327683615819,0.21412429378531073
س,5930,0.15463743676222597,0.16627318718381112,0.13743676222596965,0.2475548060708263,0.20893760539629005,0.4003372681281619,0.3284991568296796
ل,7520,0.1625,0.13164893617021275,0.07672872340425532,0.1946808510638298,0.10558510638297873,0.2836436170212766,0.18723404255319148
ن,12600,0.14595238095238094,0.21468253968253967,0.12833333333333333,0.1730952380952381,0.1307936507936508,0.3346825396825397,0.23253968253968255
م,8510,0.1627497062279671,0.18613396004700353,0.1492361927144536,0.20387779083431257,0.11668625146886016,0.3376028202115159,0.2682726204465335
أ,970,0.44432989690721647,0.4329896907216495,0.3309278350515464,0.8783505154639175,0.8948453608247423,0.811340206185567,0.7865979381443299
و,10040,0.12390438247011952,0.16374501992031873,0.14223107569721116,0.1549800796812749,0.08575697211155378,0.31324701195219123,0.24681274900398406
ه,5220,0.16666666666666666,0.18065134099616859,0.12471264367816091,0.46436781609195404,0.16513409961685824,0.3563218390804598,0.28218390804597704
ب,6140,0.1931596091205212,0.26237785016286647,0.18273615635179152,0.28403908794788274,0.2514657980456026,0.38534201954397396,0.3252442996742671
ڽ,1580,0.25,0.41645569620253164,0.43481012658227847,1.0,1.0,1.0,1.0
ف,3670,0.29482288828337877,0.4250681198910082,0.24087193460490464,0.3991825613079019,0.21198910081743869,0.48583106267029974,0.3122615803814714
ر,9760,0.11352459016393443,0.15614754098360656,0.08924180327868853,0.11362704918032787,0.061577868852459014,0.28043032786885247,0.20635245901639343
چ,870,0.2425287356321839,0.4471264367816092,0.364367816091954,0.7850574712643679,0.596551724137931,0.9804597701149426,0.8931034482758621
ڠ,5260,0.18098859315589352,0.1788973384030418,0.19068441064638783,0.8752851711026616,0.9178707224334601,0.9923954372623575,1.0
ݢ,1930,0.39067357512953366,0.5585492227979275,0.43626943005181346,0.9621761658031088,0.9979274611398964,1.0,1.0
ج,2260,0.1920353982300885,0.26150442477876107,0.12876106194690265,0.21371681415929203,0.21327433628318584,0.3048672566371681,0.22035398230088496
ق,1610,0.18198757763975154,0.4142857142857143,0.20869565217391303,0.3105590062111801,0.1341614906832298,0.4788819875776398,0.3416149068322981
خ,300,0.16333333333333333,0.28,0.06333333333333334,0.14333333333333334,0.043333333333333335,0.28,0.16
ع,700,0.16714285714285715,0.2257142857142857,0.12857142857142856,0.29714285714285715,0.2571428571428571,0.36857142857142855,0.2357142857142857
ة,1190,0.19831932773109243,0.39327731092436974,0.1865546218487395,0.5394957983193277,0.29411764705882354,0.492436974789916,0.3403361344537815
٢,1630,0.10613496932515337,0.1705521472392638,0.1147239263803681,0.7239263803680982,0.4705521472392638,0.6539877300613497,0.5294478527607362
ذ,50,0.36,0.64,0.44,0.72,0.6,0.74,0.58
ط,120,0.13333333333333333,0.1,0.041666666666666664,0.16666666666666666,0.058333333333333334,0.225,0.19166666666666668
ئ,270,0.31851851851851853,0.5777777777777777,0.42592592592592593,0.9185185185185185,0.8407407407407408,0.9,0.825925925925926
ض,90,0.28888888888888886,0.32222222222222224,0.23333333333333334,0.26666666666666666,0.15555555555555556,0.32222222222222224,0.35555555555555557
ح,640,0.1296875,0.2375,0.134375,0.2296875,0.10625,0.421875,0.20625
ص,230,0.28695652173913044,0.26521739130434785,0.08695652173913043,0.21739130434782608,0.16956521739130434,0.3347826086956522,0.1565217391304348
ء,120,0.4666666666666667,0.7083333333333334,0.6416666666666667,0.8416666666666667,0.725,0.7333333333333333,0.8
،,750,0.58,0.9306666666666666,0.9973333333333333,0.3586666666666667,0.33866666666666667,0.5906666666666667,0.46
ش,380,0.18157894736842106,0.2631578947368421,0.1868421052631579,0.13421052631578947,0.07631578947368421,0.37105263157894736,0.24210526315789474
ز,160,0.20625,0.15,0.08125,0.23125,0.09375,0.3625,0.16875
ى,70,0.22857142857142856,0.3,0.11428571428571428,0.5857142857142857,0.2,0.35714285714285715,0.22857142857142856
ث,40,0.225,0.45,0.025,0.525,0.375,0.225,0.1
١,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0
٣,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0
٥,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0
٠,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0
غ,40,0.7,0.725,0.625,0.5,0.5,0.675,0.6
