model,original,augmented,rank
lora-qv,0.6059656159515144,0.15372361787834754,4
lora-qv,0.5993968594445882,0.19534898124323277,8
lora-qv,0.5892535262731189,0.14887448083541815,16
lora-qv,0.20374274486073407,0.173445728590066,32
lora-qv,0.1787015903432445,0.12181213088982148,64
lora-qkvo,0.4979727580006175,0.1849481348532396,4
lora-qkvo,0.2298592171024311,0.16626813314510763,8
lora-qkvo,0.4472603769157521,0.1357081358467412,16
lora-qkvo,0.18251429210746486,0.12488496414862532,32
lora-qkvo,0.16215258721109158,0.11531943513088684,64
lora-all,0.19960934052236382,0.11354197902822122,4
lora-all,0.18543383440843078,0.12477485061975653,8
lora-all,0.19953234162457617,0.16452326218854224,16
lora-all,0.14704136286924455,0.10640103655962721,32
lora-all,0.11963960166437813,0.10711763522538181,64
qlora-qv,0.5871708106425328,0.15443425883143344,4
qlora-qv,0.6317378040194638,0.18809697276973963,8
qlora-qv,0.5933383120259527,0.14957333766560735,16
qlora-qv,0.203907530624105,0.17323520807835566,32
qlora-qv,0.15882841882867568,0.16093314583811485,64
qlora-qkvo,0.5039015000643718,0.18426775990164368,4
qlora-qkvo,0.2383278631896371,0.16548867672065554,8
qlora-qkvo,0.451549521262579,0.13532477650068195,16
qlora-qkvo,0.18161112867502158,0.12443604064365589,32
qlora-qkvo,0.16272139279913364,0.11649614140880968,64
qlora-all,0.20097538094914683,0.11484751984751229,4
qlora-all,0.18523951140459569,0.24704068070331187,8
qlora-all,0.19901727002009945,0.12354689007603438,16
qlora-all,0.14609700307290693,0.10695073532936786,32
qlora-all,0.11928866749925045,0.10690756192921161,64
